,chrf,number of Unique sentences,chapter-title,source
350,0.13151213101535278,7,Adam Bede.book 1.chapter 4,sparknotes
351,0.12337667509943931,7,Adam Bede.book 1.chapter 5,sparknotes
352,0.11432752286991348,3,Adam Bede.book 1.chapter 6,sparknotes
353,0.10137670043747443,3,Adam Bede.book 1.chapter 7,sparknotes
354,0.16777743224426733,7,Adam Bede.book 1.chapter 8,sparknotes
355,0.11794387315843032,4,Adam Bede.book 1.chapter 9,sparknotes
356,0.12153814328900217,3,Adam Bede.book 1.chapter 10,sparknotes
357,0.13418172912259893,6,Adam Bede.book 1.chapter 11,sparknotes
358,0.13798225300452502,8,Adam Bede.book 1.chapter 12,sparknotes
359,0.11865010567657956,7,Adam Bede.book 1.chapter 13,sparknotes
360,0.14101734948163805,4,Adam Bede.book 1.chapter 14,sparknotes
361,0.1418035811928943,8,Adam Bede.book 1.chapter 15,sparknotes
362,0.12831493224825014,10,Adam Bede.book 1.chapter 16,sparknotes
363,0.11062492960089305,2,Adam Bede.book 2.chapter 17,sparknotes
364,0.11560415824250705,6,Adam Bede.book 2.chapter 18,sparknotes
365,0.12556767175866873,4,Adam Bede.book 2.chapter 19,sparknotes
366,0.15082364413767643,8,Adam Bede.book 2.chapter 20,sparknotes
367,0.12475036195749048,5,Adam Bede.book 2.chapter 21,sparknotes
368,0.11287299562814761,4,Adam Bede.book 3.chapter 22,sparknotes
369,0.1196411549504333,3,Adam Bede.book 3.chapter 23,sparknotes
370,0.11341326040600208,4,Adam Bede.book 3.chapter 24,sparknotes
371,0.12038027174605098,5,Adam Bede.book 3.chapter 25,sparknotes
372,0.1331741541944992,4,Adam Bede.book 3.chapter 26,sparknotes
373,0.1486946419352545,6,Adam Bede.book 4.chapter 27,sparknotes
374,0.10912113778757686,7,Adam Bede.book 4.chapter 28,sparknotes
375,0.1117999446251896,6,Adam Bede.book 4.chapter 29,sparknotes
376,0.13658757790836837,7,Adam Bede.book 4.chapter 30,sparknotes
377,0.22021627185337966,4,Adam Bede.book 4.chapter 31,sparknotes
378,0.13347558771394738,4,Adam Bede.book 4.chapter 32,sparknotes
379,0.11319175423834117,5,Adam Bede.book 4.chapter 33,sparknotes
380,0.1690282321462048,6,Adam Bede.book 4.chapter 34,sparknotes
381,0.11003624788223558,8,Adam Bede.book 4.chapter 35,sparknotes
382,0.1609883232261785,7,Adam Bede.book 5.chapter 36,sparknotes
383,0.1510177646481697,7,Adam Bede.book 5.chapter 37,sparknotes
384,0.12950312720135546,6,Adam Bede.book 5.chapter 38,sparknotes
385,0.2252783057311135,4,Adam Bede.book 5.chapter 39,sparknotes
386,0.20104391089475313,10,Adam Bede.book 5.chapter 40,sparknotes
387,0.13467007743071,5,Adam Bede.book 5.chapter 41,sparknotes
388,0.1344819971823642,5,Adam Bede.book 5.chapter 42,sparknotes
389,0.11478183204467873,9,Adam Bede.book 5.chapter 43,sparknotes
390,0.12349504113434706,7,Adam Bede.book 5.chapter 44,sparknotes
391,0.13993352790152516,5,Adam Bede.book 5.chapter 45,sparknotes
392,0.17728257877302517,9,Adam Bede.book 5.chapter 46,sparknotes
393,0.11016130931158713,4,Adam Bede.book 5.chapter 47,sparknotes
394,0.1315749245348685,8,Adam Bede.book 5.chapter 48,sparknotes
