,bartscore,number of Unique sentences,chapter-title,source
2560,-2.858457028865814,4,Sister Carrie.chapter 16,cliffnotes
2561,-2.579287514967077,6,Sister Carrie.chapter 26,cliffnotes
2562,-2.8026324179437427,12,Sister Carrie.chapter 27,cliffnotes
2563,-2.846109453837077,7,Sister Carrie.chapter 32,cliffnotes
2564,-2.8064331868115593,12,Sister Carrie.chapter 36,cliffnotes
2565,-2.922755406453059,5,Sister Carrie.chapter 42,cliffnotes
2566,-2.850065678358078,5,Sister Carrie.chapter 45,cliffnotes
2567,-2.7005867787769864,6,Sister Carrie.chapter 46,cliffnotes
2568,-2.7839244678616524,8,Sister Carrie.chapter 47,cliffnotes
2569,-2.4853509691026474,6,Sister Carrie.chapters 26-30,sparknotes
2570,-3.077910054813732,11,Sister Carrie.chapters 31-35,sparknotes
2571,-2.7052407685448143,22,Sister Carrie.chapters 26-30,novelguide
2572,-2.4901022769155956,7,Sister Carrie.chapters 31-35,novelguide
2573,-3.317625995995342,6,Sister Carrie.chapters 41-47,novelguide
2574,-3.0345215439796447,5,Kidnapped.chapter 1,gradesaver
2575,-2.7438494307654246,3,Kidnapped.chapter 2,gradesaver
2576,-2.6807889209853277,4,Kidnapped.chapter 3,gradesaver
2577,-3.1707410982676913,8,Kidnapped.chapter 4,gradesaver
2578,-3.1261737611558704,4,Kidnapped.chapter 5,gradesaver
2579,-3.4047831765242984,3,Kidnapped.chapter 6,gradesaver
2580,-3.1460411754938273,8,Kidnapped.chapter 7,gradesaver
2581,-3.488784611225128,5,Kidnapped.chapter 8,gradesaver
2582,-2.835223948955536,13,Kidnapped.chapter 9,gradesaver
2583,-3.0791170813820576,4,Kidnapped.chapter 10,gradesaver
2584,-3.591764351596003,8,Kidnapped.chapter 11,gradesaver
2585,-3.181447242868358,8,Kidnapped.chapter 12,gradesaver
2586,-3.2307697534561157,4,Kidnapped.chapter 13,gradesaver
2587,-3.0599446853001915,2,Kidnapped.chapter 14,gradesaver
2588,-3.4415598817773767,5,Kidnapped.chapter 15,gradesaver
2589,-3.785444655418396,7,Kidnapped.chapter 16,gradesaver
2590,-3.2592261838912964,3,Kidnapped.chapter 17,gradesaver
2591,-3.096148121356964,2,Kidnapped.chapter 18,gradesaver
2592,-3.228400288089629,5,Kidnapped.chapter 19,gradesaver
2593,-3.046037873801063,7,Kidnapped.chapter 20,gradesaver
2594,-3.157534856062669,9,Kidnapped.chapter 21,gradesaver
2595,-2.966041584809621,5,Kidnapped.chapter 22,gradesaver
2596,-3.2978712022304535,6,Kidnapped.chapter 23,gradesaver
2597,-3.1074790531589143,7,Kidnapped.chapter 24,gradesaver
2598,-3.206946973999341,4,Kidnapped.chapter 25,gradesaver
2599,-3.2392267834755684,5,Kidnapped.chapter 26,gradesaver
2600,-3.131505459547043,6,Kidnapped.chapter 27,gradesaver
2601,-3.0243796931730733,6,Kidnapped.chapter 28,gradesaver
2602,-2.7628662056393094,7,Kidnapped.chapter 29,gradesaver
2603,-3.152503651121388,3,Kidnapped.chapter 30,gradesaver
2604,-3.1165883640448255,8,Kidnapped.chapter 1,shmoop
